race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,driver_age,driver_nation,Avg_lap_time,AvgPitDurationMS,positionOrder,tot_laps,cons_name,cons_nation,Avg_stop,Accident
2018-08-26,8,3,2018,13:10:00,Circuit de Spa-Francorchamps,Spa,Belgium,stroll,19,Canadian,117128.9,21316.5,13,43,Williams,British,1.5,0
2013-07-28,7,3,2013,12:00:00,Hungaroring,Budapest,Hungary,ricciardo,24,Australian,89853.77,23014.5,13,69,Toro Rosso,Italian,1.5,0
2017-07-30,7,3,2017,12:00:00,Hungaroring,Budapest,Hungary,sainz,22,Spanish,86904.05,22745,7,69,Toro Rosso,Italian,1,0
2015-06-21,6,2,2015,12:00:00,Red Bull Ring,Spielberg,Austria,max_verstappen,17,Dutch,77415.77,21984,8,70,Toro Rosso,Italian,1,0
2024-04-07,4,2,2024,05:00:00,Suzuka Circuit,Suzuka,Japan,ocon,27,French,132783,544556.7,15,52,Alpine F1 Team,French,2,0
2019-12-01,12,4,2019,13:10:00,Yas Marina Circuit,Abu Dhabi,UAE,perez,29,Mexican,105011.4,22230,7,54,Racing Point,British,1,0
2022-07-10,7,3,2022,13:00:00,Red Bull Ring,Spielberg,Austria,mick_schumacher,23,German,72423.03,22500,6,70,Haas F1 Team,American,1.5,0
2019-09-01,9,3,2019,13:10:00,Circuit de Spa-Francorchamps,Spa,Belgium,russell,21,British,117610.5,22442,15,43,Williams,British,1,0
2019-03-17,3,1,2019,05:10:00,Albert Park Grand Prix Circuit,Melbourne,Australia,perez,29,Mexican,90803.31,23234,13,57,Racing Point,British,1,0
2019-06-09,6,2,2019,18:10:00,Circuit Gilles Villeneuve,Montreal,Canada,raikkonen,39,Finnish,78510.1,25004,15,69,Alfa Romeo,Swiss,1.5,0
2021-11-21,11,4,2021,14:00:00,Losail International Circuit,Al Daayen,Qatar,gasly,25,French,90708.21,25869.5,11,56,AlphaTauri,Italian,1.5,0
2018-09-02,9,3,2018,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,leclerc,20,Monegasque,88966.3,24084,11,52,Sauber,Swiss,1,0
2016-05-01,5,2,2016,12:00:00,Sochi Autodrom,Sochi,Russia,button,36,British,107330.4,30580,10,52,McLaren,British,1,0
2019-05-12,5,2,2019,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,russell,21,British,89388.13,22144,17,65,Williams,British,1.5,0
2019-12-01,12,4,2019,13:10:00,Yas Marina Circuit,Abu Dhabi,UAE,sainz,25,Spanish,105126.6,21697,10,54,McLaren,British,1.5,0
2013-04-21,4,2,2013,12:00:00,Bahrain International Circuit,Sakhir,Bahrain,jules_bianchi,23,French,103824.1,23600,19,56,Marussia,Russian,2.5,0
2020-08-16,8,3,2020,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,albon,24,Thai,85307.81,21733.5,8,65,Red Bull,Austrian,1.5,0
2019-07-14,7,3,2019,13:10:00,Silverstone Circuit,Silverstone,UK,vettel,32,German,95782.61,33244.5,16,51,Ferrari,Italian,1.5,0
2021-05-09,5,2,2021,13:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,raikkonen,41,Finnish,86658.86,21572,12,65,Alfa Romeo,Swiss,1,0
2016-04-17,4,2,2016,06:00:00,Shanghai International Circuit,Shanghai,China,kevin_magnussen,23,Danish,108366.9,23030.67,17,55,Renault,French,2,0
2020-10-25,10,4,2020,12:10:00,Autódromo Internacional do Algarve,Portimão,Portugal,gasly,24,French,83290.22,27204,5,65,AlphaTauri,Italian,1,0
2014-10-05,10,4,2014,06:00:00,Suzuka Circuit,Suzuka,Japan,kevin_magnussen,22,Danish,156792.3,248343.6,14,43,McLaren,British,3,0
2018-09-16,9,3,2018,12:10:00,Marina Bay Street Circuit,Marina Bay,Singapore,stroll,19,Canadian,112454.2,28767,14,60,Williams,British,1,0
2014-07-27,7,3,2014,12:00:00,Hungaroring,Budapest,Hungary,kvyat,20,Russian,98604.8,22812.5,14,69,Toro Rosso,Italian,1.5,0
2014-10-12,10,4,2014,11:00:00,Sochi Autodrom,Sochi,Russia,grosjean,28,French,106886.8,30037,17,52,Lotus F1,British,1,0
2015-11-15,11,4,2015,16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,perez,25,Mexican,78993.3,23731.67,12,70,Force India,Indian,2,0
2014-04-20,4,2,2014,07:00:00,Shanghai International Circuit,Shanghai,China,kevin_magnussen,21,Danish,106198.1,23124.5,13,53,McLaren,British,1.5,0
2022-07-10,7,3,2022,13:00:00,Red Bull Ring,Spielberg,Austria,kevin_magnussen,29,Danish,72513.26,22146.5,8,70,Haas F1 Team,American,1.5,0
2015-11-15,11,4,2015,16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,hulkenberg,28,German,78391.7,24104,6,70,Force India,Indian,1.5,0
2019-04-28,4,2,2019,12:10:00,Baku City Circuit,Baku,Azerbaijan,hulkenberg,31,German,111722.5,21097.5,14,50,Renault,French,1.5,0
2022-04-10,4,2,2022,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,alonso,40,Spanish,92931.03,18595,17,57,Alpine F1 Team,French,1.5,0
2017-10-22,10,4,2017,19:00:00,Circuit of the Americas,Austin,USA,kvyat,23,Russian,102553.9,24883,10,55,Toro Rosso,Italian,1,0
2021-11-21,11,4,2021,14:00:00,Losail International Circuit,Al Daayen,Qatar,tsunoda,21,Japanese,91114.23,26166.5,13,56,AlphaTauri,Italian,1.5,0
2021-07-04,7,3,2021,13:00:00,Red Bull Ring,Spielberg,Austria,tsunoda,21,Japanese,72242.31,23874.5,12,70,AlphaTauri,Italian,1.5,0
2020-08-16,8,3,2020,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,raikkonen,40,Finnish,85641.26,22255.5,14,65,Alfa Romeo,Swiss,1.5,0
2016-10-23,10,4,2016,19:00:00,Circuit of the Americas,Austin,USA,jolyon_palmer,25,British,108250.4,24418.5,13,55,Renault,French,1.5,0
2014-11-23,11,4,2014,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,sutil,31,German,110604.9,22331.67,16,54,Sauber,Swiss,2,0
2016-07-31,7,3,2016,12:00:00,Hockenheimring,Hockenheim,Germany,perez,26,Mexican,82704.52,19278.33,10,66,Force India,Indian,2,0
2021-12-12,12,4,2021,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,stroll,23,Canadian,95181.17,22474.5,13,57,Aston Martin,British,1.5,0
2019-10-13,10,4,2019,05:10:00,Suzuka Circuit,Suzuka,Japan,raikkonen,39,Finnish,97205.7,23816,12,51,Alfa Romeo,Swiss,1.5,0
2021-11-21,11,4,2021,14:00:00,Losail International Circuit,Al Daayen,Qatar,ricciardo,32,Australian,91108.41,25562,12,56,McLaren,British,1,0
2022-10-30,10,4,2022,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,zhou,23,Chinese,85325.16,24218,13,70,Alfa Romeo,Swiss,1,0
2013-07-07,7,3,2013,12:00:00,Nürburgring,Nürburg,Germany,pic,23,French,103567.9,22357.67,17,59,Caterham,Malaysian,2,0
2013-07-07,7,3,2013,12:00:00,Nürburgring,Nürburg,Germany,chilton,22,British,103735.8,20669.75,19,59,Marussia,Russian,2.5,0
2021-03-28,3,1,2021,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,giovinazzi,27,Italian,100532.6,28110.5,12,55,Alfa Romeo,Swiss,1.5,0
2018-09-16,9,3,2018,12:10:00,Marina Bay Street Circuit,Marina Bay,Singapore,brendon_hartley,28,New Zealander,113062.5,29688,17,60,Toro Rosso,Italian,1.5,0
2015-09-06,9,3,2015,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,ericsson,25,Swedish,90081.73,24842,9,52,Sauber,Swiss,1,0
