race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,driver_age,driver_nation,Avg_lap_time,AvgPitDurationMS,positionOrder,tot_laps,cons_name,cons_nation,Avg_stop,Accident
2015-05-24,5,2,2015,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,hamilton,30,British,84159.91,24838,3,78,Mercedes,German,1.5,0
2018-09-16,9,3,2018,12:10:00,Marina Bay Street Circuit,Marina Bay,Singapore,bottas,29,Finnish,110222,28542,4,61,Mercedes,German,1,0
2024-06-30,6,2,2024,13:00:00,Red Bull Ring,Spielberg,Austria,piastri,23,Australian,71333.86,20876.5,2,71,McLaren,British,1.5,0
2013-05-12,5,2,2013,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,rosberg,27,German,91282.06,19599.33,6,66,Mercedes,German,2,0
2013-03-24,3,1,2013,08:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,hamilton,28,British,106229.7,22304.5,3,56,Mercedes,German,2.5,0
2018-04-15,4,2,2018,06:10:00,Shanghai International Circuit,Shanghai,China,ricciardo,28,Australian,102435.4,22866.5,1,56,Red Bull,Austrian,1.5,0
2018-10-07,10,4,2018,05:10:00,Suzuka Circuit,Suzuka,Japan,vettel,31,German,100130.9,22748,6,53,Ferrari,Italian,1,0
2018-04-29,4,2,2018,12:10:00,Baku City Circuit,Baku,Azerbaijan,vettel,30,German,122149.4,20430,4,51,Ferrari,Italian,1.5,0
2023-11-19,11,4,2023,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,kevin_magnussen,31,Danish,107862.3,21739.5,13,50,Haas F1 Team,American,1.5,0
2018-07-22,7,3,2018,13:10:00,Hockenheimring,Hockenheim,Germany,kevin_magnussen,25,Danish,83354.69,27432,11,67,Haas F1 Team,American,2,0
2013-11-17,11,4,2013,19:00:00,Circuit of the Americas,Austin,USA,massa,32,Brazilian,107929.7,24026,13,56,Ferrari,Italian,1.5,0
2022-11-20,11,4,2022,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,tsunoda,22,Japanese,92332.5,21926.5,11,58,AlphaTauri,Italian,1.5,0
2021-09-26,9,3,2021,12:00:00,Sochi Autodrom,Sochi,Russia,norris,21,British,104306.1,31247,7,53,McLaren,British,1.5,0
2023-11-19,11,4,2023,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,sainz,29,Spanish,107382.5,21945.5,6,50,Ferrari,Italian,1.5,0
2019-05-26,5,2,2019,13:10:00,Circuit de Monaco,Monte-Carlo,Monaco,vettel,31,German,79628.7,24483,2,78,Ferrari,Italian,1,0
2013-04-21,4,2,2013,12:00:00,Bahrain International Circuit,Sakhir,Bahrain,rosberg,27,German,101782.9,21504.5,9,57,Mercedes,German,2.5,0
2014-11-02,11,4,2014,20:00:00,Circuit of the Americas,Austin,USA,maldonado,29,Venezuelan,109065.3,27101,9,56,Lotus F1,British,1.5,0
2016-06-19,6,2,2016,13:00:00,Baku City Circuit,Baku,Azerbaijan,rosberg,30,German,109262.1,20058,1,51,Mercedes,German,1,0
2018-07-08,7,3,2018,13:10:00,Silverstone Circuit,Silverstone,UK,ocon,21,French,101533,29410,7,52,Force India,Indian,1,0
2016-08-28,8,3,2016,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,max_verstappen,18,Dutch,144595.4,268934.8,11,44,Red Bull,Austrian,2.5,0
2023-10-29,10,4,2023,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,tsunoda,23,Japanese,104645,624089,12,71,AlphaTauri,Italian,1.5,0
2022-09-04,9,3,2022,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,kevin_magnussen,29,Danish,81106.14,20583.25,15,72,Haas F1 Team,American,2.5,0
2017-09-17,9,3,2017,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,massa,36,Brazilian,128449.7,30731.5,11,58,Williams,British,3.5,0
2014-06-22,6,2,2014,12:00:00,Red Bull Ring,Spielberg,Austria,ricciardo,24,Australian,74908.42,21432.5,8,71,Red Bull,Austrian,1.5,0
2015-03-29,3,1,2015,07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,bottas,25,Finnish,109575,26529.33,5,56,Williams,British,2,0
2022-11-13,11,4,2022,18:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,bottas,33,Finnish,83614.03,24262,9,71,Alfa Romeo,Swiss,1.5,0
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,russell,22,British,142499.4,556337,11,59,Williams,British,3,0
2013-04-21,4,2,2013,12:00:00,Bahrain International Circuit,Sakhir,Bahrain,resta,27,British,101442.5,22242,4,57,Force India,Indian,1.5,0
2023-04-02,4,2,2023,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,piastri,21,Australian,157995.7,921215.5,8,58,McLaren,British,2.5,0
2013-07-28,7,3,2013,12:00:00,Hungaroring,Budapest,Hungary,vettel,26,German,88027.2,21624,3,70,Red Bull,Austrian,2,0
2015-05-24,5,2,2015,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,button,35,British,84288.24,24861.5,8,78,McLaren,British,1.5,0
2022-09-04,9,3,2022,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,zhou,23,Chinese,81112.41,19824.25,16,72,Alfa Romeo,Swiss,2.5,0
2015-10-11,10,4,2015,11:00:00,Sochi Autodrom,Sochi,Russia,perez,25,Mexican,110564.9,30545,3,53,Force India,Indian,1,0
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,ricciardo,31,Australian,142126.7,560801,4,59,Renault,French,3,0
2015-09-27,9,3,2015,05:00:00,Suzuka Circuit,Suzuka,Japan,raikkonen,35,Finnish,100382.6,23149,4,53,Ferrari,Italian,1.5,0
2017-05-28,5,2,2017,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,perez,27,Mexican,81069.6,30608,13,78,Force India,Indian,2,0
2022-04-10,4,2,2022,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,perez,32,Mexican,91156.41,17434,2,58,Red Bull,Austrian,1,0
2021-05-09,5,2,2021,13:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,bottas,31,Finnish,85065,21974.5,3,66,Mercedes,German,1.5,0
2019-11-03,11,4,2019,19:10:00,Circuit of the Americas,Austin,USA,ricciardo,30,Australian,102250.3,23751,6,56,Renault,French,1,0
2023-10-08,10,4,2023,17:00:00,Losail International Circuit,Al Daayen,Qatar,perez,33,Mexican,93585.07,31406.33,10,57,Red Bull,Austrian,2,0
2016-06-19,6,2,2016,13:00:00,Baku City Circuit,Baku,Azerbaijan,ricciardo,26,Australian,110619.5,19997.5,7,51,Red Bull,Austrian,1.5,0
2022-07-24,7,3,2022,13:00:00,Circuit Paul Ricard,Le Castellet,France,norris,22,British,102908.3,37539,7,53,McLaren,British,1,0
2015-09-27,9,3,2015,05:00:00,Suzuka Circuit,Suzuka,Japan,grosjean,29,French,101109.5,24173.5,7,53,Lotus F1,British,1.5,0
2017-04-09,4,2,2017,06:00:00,Shanghai International Circuit,Shanghai,China,ricciardo,27,Australian,105396.3,20234.5,4,56,Red Bull,Austrian,2.5,0
2016-09-04,9,3,2016,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,massa,35,Brazilian,88937.85,23881,9,53,Williams,British,1.5,0
2024-05-19,5,2,2024,13:00:00,Autodromo Enzo e Dino Ferrari,Imola,Italy,perez,34,Mexican,82222.66,29669,8,63,Red Bull,Austrian,1,0
2022-05-08,5,2,2022,19:30:00,Miami International Autodrome,Miami,USA,latifi,26,Canadian,100249,19185,14,57,Williams,British,1,0
2016-05-29,5,2,2016,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,alonso,34,Spanish,93002.68,26174,5,78,McLaren,British,1.5,0
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,grosjean,34,French,142662.6,541003.4,12,59,Haas F1 Team,American,3,0
2020-09-06,9,3,2020,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,perez,30,Mexican,121684.5,775841,10,53,Racing Point,British,1.5,0
2021-06-06,6,2,2021,12:00:00,Baku City Circuit,Baku,Azerbaijan,mick_schumacher,22,German,157463.8,428604.4,13,51,Haas F1 Team,American,3,0
2015-09-20,9,3,2015,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,ricciardo,26,Australian,119403.2,30363,2,61,Red Bull,Austrian,1.5,0
2019-09-08,9,3,2019,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,albon,23,Thai,86527.92,29830,6,53,Red Bull,Austrian,1,0
2021-05-02,5,2,2021,14:00:00,Autódromo Internacional do Algarve,Portimão,Portugal,bottas,31,Finnish,86438.65,24240,3,66,Mercedes,German,2.5,0
2023-07-30,7,3,2023,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,leclerc,25,Monegasque,113243.4,23186,3,44,Ferrari,Italian,1.5,0
2020-07-12,7,3,2020,13:10:00,Red Bull Ring,Spielberg,Austria,stroll,21,Canadian,70889.24,22118,7,71,Racing Point,British,1,0
2013-07-07,7,3,2013,12:00:00,Nürburgring,Nürburg,Germany,hamilton,28,British,101694,19374.67,5,60,Mercedes,German,2,0
2013-04-21,4,2,2013,12:00:00,Bahrain International Circuit,Sakhir,Bahrain,grosjean,27,French,101403.6,22589.67,3,57,Lotus F1,British,2,0
2013-06-30,6,2,2013,12:00:00,Silverstone Circuit,Silverstone,UK,hulkenberg,25,German,107676.3,26934.33,10,52,Sauber,Swiss,2,0
2019-09-22,9,3,2019,12:10:00,Marina Bay Street Circuit,Marina Bay,Singapore,stroll,20,Canadian,117214.5,32710,13,61,Racing Point,British,2,0
2022-07-24,7,3,2022,13:00:00,Circuit Paul Ricard,Le Castellet,France,vettel,35,German,103143.5,36671,11,53,Aston Martin,British,1,0
2020-12-13,12,4,2020,13:10:00,Yas Marina Circuit,Abu Dhabi,UAE,max_verstappen,23,Dutch,105248.1,21289,1,55,Red Bull,Austrian,1,0
2015-05-24,5,2,2015,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,sainz,20,Spanish,84403.54,25306,10,78,Toro Rosso,Italian,1,0
2021-06-06,6,2,2021,12:00:00,Baku City Circuit,Baku,Azerbaijan,latifi,25,Canadian,157427.2,1035162,16,51,Williams,British,1.5,0
2020-10-11,10,4,2020,13:10:00,Nürburgring,Nürburg,Germany,gasly,24,French,96206.78,22771,6,60,AlphaTauri,Italian,1.5,0
2018-07-08,7,3,2018,13:10:00,Silverstone Circuit,Silverstone,UK,alonso,36,Spanish,101555.8,28377,8,52,McLaren,British,1.5,0
2013-09-22,9,3,2013,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,hulkenberg,26,German,118645.8,30081.5,9,61,Sauber,Swiss,1.5,0
2021-04-18,4,2,2021,13:00:00,Autodromo Enzo e Dino Ferrari,Imola,Italy,ocon,24,French,117782.6,325585.2,9,63,Alpine F1 Team,French,3,0
2016-09-18,9,3,2016,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,rosberg,31,German,113917.2,28622,1,61,Mercedes,German,2,0
2017-05-28,5,2,2017,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,ocon,20,French,80872.63,24479,12,78,Force India,Indian,2,0
2023-04-30,4,2,2023,11:00:00,Baku City Circuit,Baku,Azerbaijan,tsunoda,22,Japanese,110711.7,20497,10,51,AlphaTauri,Italian,1,0
2015-08-23,8,3,2015,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,grosjean,29,French,117636.6,23605,3,43,Lotus F1,British,1.5,0
2015-11-29,11,4,2015,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,vettel,28,German,108252.9,21711.5,4,55,Ferrari,Italian,1.5,0
2014-07-27,7,3,2014,12:00:00,Hungaroring,Budapest,Hungary,maldonado,29,Venezuelan,98129.74,25600.67,13,70,Lotus F1,British,2,0
2014-09-07,9,3,2014,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,kvyat,20,Russian,90970.19,24651,11,53,Toro Rosso,Italian,1,0
2018-04-08,4,2,2018,15:10:00,Bahrain International Circuit,Sakhir,Bahrain,hamilton,33,British,96990.38,24302,3,57,Mercedes,German,1,0
2013-04-14,4,2,2013,07:00:00,Shanghai International Circuit,Shanghai,China,vergne,22,French,104634.8,20642.67,12,56,Toro Rosso,Italian,2,0
2021-08-29,8,3,2021,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,perez,31,Mexican,245276,0,19,1,Red Bull,Austrian,,0
2018-07-29,7,3,2018,13:10:00,Hungaroring,Budapest,Hungary,raikkonen,38,Finnish,83664.69,23150,3,70,Ferrari,Italian,1.5,0
2019-07-28,7,3,2019,13:10:00,Hockenheimring,Hockenheim,Germany,raikkonen,39,Finnish,98179.52,22908.75,12,64,Alfa Romeo,Swiss,2.5,0
2024-03-02,3,1,2024,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,hamilton,39,British,97457.3,24590.5,7,57,Mercedes,German,1.5,0
2016-05-15,5,2,2016,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,ricciardo,26,Australian,93090.41,22164.5,4,66,Red Bull,Austrian,2.5,0
2022-10-09,10,4,2022,05:00:00,Suzuka Circuit,Suzuka,Japan,hamilton,37,British,133726.1,210781.5,5,28,Mercedes,German,1.5,0
2013-09-22,9,3,2013,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,vettel,26,German,117264.5,28860.5,1,61,Red Bull,Austrian,1.5,0
2024-03-02,3,1,2024,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,alonso,42,Spanish,97888.23,24947.5,9,57,Aston Martin,British,1.5,0
2019-11-17,11,4,2019,17:10:00,Autódromo José Carlos Pace,São Paulo,Brazil,raikkonen,40,Finnish,78931.41,23652,4,71,Alfa Romeo,Swiss,1.5,0
2021-09-12,9,3,2021,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,russell,23,British,93096.36,24156,9,53,Williams,British,1,0
2020-07-12,7,3,2020,13:10:00,Red Bull Ring,Spielberg,Austria,norris,20,British,70875.39,22406,5,71,McLaren,British,1,0
2013-11-03,11,4,2013,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,gutierrez,22,Mexican,108916.4,22377.5,13,55,Sauber,Swiss,1.5,0
2018-06-10,6,2,2018,18:10:00,Circuit Gilles Villeneuve,Montreal,Canada,bottas,28,Finnish,78216.95,23775,2,68,Mercedes,German,1,0
2014-11-23,11,4,2014,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,hulkenberg,27,German,109177.6,24543.5,6,55,Force India,Indian,1.5,0
2015-08-23,8,3,2015,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,massa,34,Brazilian,118038.8,23468.5,6,43,Williams,British,1.5,0
2015-11-01,11,4,2015,19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,perez,25,Mexican,87174.38,23547,8,71,Force India,Indian,1,0
2021-06-20,6,2,2021,13:00:00,Circuit Paul Ricard,Le Castellet,France,ricciardo,31,Australian,100408.1,29951,6,53,McLaren,British,1,0
2020-11-01,11,4,2020,12:10:00,Autodromo Enzo e Dino Ferrari,Imola,Italy,leclerc,23,Monegasque,84627.63,30243,5,63,Ferrari,Italian,1,0
2023-05-07,5,2,2023,19:30:00,Miami International Autodrome,Miami,USA,stroll,24,Canadian,93385.88,22651,12,57,Aston Martin,British,1,0
2018-04-29,4,2,2018,12:10:00,Baku City Circuit,Baku,Azerbaijan,stroll,19,Canadian,122290.9,20486.5,8,51,Williams,British,1.5,0
2016-11-13,11,4,2016,16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,button,36,British,154131.4,713800.2,16,71,McLaren,British,3,0
2015-09-20,9,3,2015,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,bottas,26,Finnish,119939.7,29249.5,5,61,Williams,British,1.5,0
2022-07-03,7,3,2022,14:00:00,Silverstone Circuit,Silverstone,UK,hamilton,37,British,159164.2,1035240,3,52,Mercedes,German,2,0
2013-03-17,3,1,2013,06:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,massa,31,Brazilian,93737.97,21591.33,4,58,Ferrari,Italian,2,0
2017-08-27,8,3,2017,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,hamilton,32,British,115518.6,22197,1,44,Mercedes,German,1.5,0
2016-10-02,10,4,2016,07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,rosberg,31,German,104433.8,23962.33,3,56,Mercedes,German,2,0
2013-10-06,10,4,2013,06:00:00,Korean International Circuit,Yeongam County,Korea,raikkonen,33,Finnish,112689.5,23080,2,55,Lotus F1,British,1.5,0
2016-06-12,6,2,2016,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,raikkonen,36,Finnish,78975.9,23041.5,6,70,Ferrari,Italian,1.5,0
2013-04-14,4,2,2013,07:00:00,Shanghai International Circuit,Shanghai,China,vettel,25,German,103562,19866,4,56,Red Bull,Austrian,2,0
2013-03-24,3,1,2013,08:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,rosberg,27,German,106237.9,21605.75,4,56,Mercedes,German,2.5,0
2016-05-29,5,2,2016,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,rosberg,30,German,93107.98,27189,7,78,Mercedes,German,1.5,0
2020-09-06,9,3,2020,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,ricciardo,31,Australian,121404.7,774567.5,6,53,Renault,French,1.5,0
2018-04-15,4,2,2018,06:10:00,Shanghai International Circuit,Shanghai,China,leclerc,20,Monegasque,103909.9,23392,19,56,Sauber,Swiss,1,0
2016-07-03,7,3,2016,12:00:00,Red Bull Ring,Spielberg,Austria,button,36,British,74588.91,20541.25,6,71,McLaren,British,2.5,0
2015-09-27,9,3,2015,05:00:00,Suzuka Circuit,Suzuka,Japan,vettel,28,German,100138.8,23102,3,53,Ferrari,Italian,1.5,0
2016-11-13,11,4,2016,16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,hulkenberg,29,German,153396.6,1172697,7,71,Force India,Indian,2,0
2023-03-19,3,1,2023,17:00:00,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,de_vries,28,Dutch,99047.44,21116,14,50,AlphaTauri,Italian,1,0
2019-12-01,12,4,2019,13:10:00,Yas Marina Circuit,Abu Dhabi,UAE,bottas,30,Finnish,103456.3,21145,4,55,Mercedes,German,1,0
2023-11-19,11,4,2023,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,ricciardo,34,Australian,107936.3,22242,14,50,AlphaTauri,Italian,1,0
2015-09-06,9,3,2015,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,perez,25,Mexican,89688.13,24281,6,53,Force India,Indian,1,0
2023-07-30,7,3,2023,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,perez,33,Mexican,113017.2,23197,2,44,Red Bull,Austrian,1.5,0
2016-03-20,3,1,2016,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,rosberg,30,German,113957.3,555417,1,57,Mercedes,German,1.5,0
2020-08-30,8,3,2020,13:10:00,Circuit de Spa-Francorchamps,Spa,Belgium,vettel,33,German,116401.3,22982,13,44,Ferrari,Italian,1,0
2014-08-24,8,3,2014,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,gutierrez,23,Mexican,117440.5,23078.5,15,44,Sauber,Swiss,1.5,0
2020-12-06,12,4,2020,17:10:00,Bahrain International Circuit,Sakhir,Bahrain,raikkonen,41,Finnish,63232.95,25868.33,14,87,Alfa Romeo,Swiss,2,0
2016-03-20,3,1,2016,05:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,bottas,26,Finnish,115275.8,555182.5,8,57,Williams,British,1.5,0
2020-09-13,9,3,2020,13:10:00,Autodromo Internazionale del Mugello,Mugello,Italy,vettel,33,German,142458.4,468781,10,59,Ferrari,Italian,3.5,0
2024-03-24,3,1,2024,04:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,hulkenberg,36,German,85024.07,18232.5,9,58,Haas F1 Team,American,1.5,0
2016-04-17,4,2,2016,06:00:00,Shanghai International Circuit,Shanghai,China,kvyat,21,Russian,106782.6,23125,3,56,Red Bull,Austrian,2,0
2020-08-09,8,3,2020,13:10:00,Silverstone Circuit,Silverstone,UK,hulkenberg,32,German,93037.38,28701,7,52,Racing Point,British,2,0
2018-03-25,3,1,2018,05:10:00,Albert Park Grand Prix Circuit,Melbourne,Australia,alonso,36,Spanish,93123.6,22573,5,58,McLaren,British,1,0
2017-11-12,11,4,2017,16:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,max_verstappen,20,Dutch,77735.24,20116.2,5,71,Red Bull,Austrian,3,0
2014-05-11,5,2,2014,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,alonso,32,Spanish,93225.73,21882.67,6,66,Ferrari,Italian,2,0
2016-04-17,4,2,2016,06:00:00,Shanghai International Circuit,Shanghai,China,max_verstappen,18,Dutch,107377.8,25636,8,56,Toro Rosso,Italian,2,0
2021-04-18,4,2,2021,13:00:00,Autodromo Enzo e Dino Ferrari,Imola,Italy,alonso,39,Spanish,117796.2,525612.3,10,63,Alpine F1 Team,French,2,0
2022-11-13,11,4,2022,18:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,mick_schumacher,23,German,83717.51,24821.5,13,71,Haas F1 Team,American,1.5,0
2014-08-24,8,3,2014,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,ricciardo,25,Australian,115376.3,22794,1,44,Red Bull,Austrian,1.5,0
2021-05-02,5,2,2021,14:00:00,Autódromo Internacional do Algarve,Portimão,Portugal,ricciardo,31,Australian,87072.58,24319.67,9,66,McLaren,British,2,0
2015-10-11,10,4,2015,11:00:00,Sochi Autodrom,Sochi,Russia,kvyat,21,Russian,110916.8,30418,5,53,Red Bull,Austrian,1,0
2018-09-02,9,3,2018,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,sainz,24,Spanish,88540.08,25774,8,53,Renault,French,1,0
2021-10-24,10,4,2021,19:00:00,Circuit of the Americas,Austin,USA,sainz,27,Spanish,102858.9,25140,7,56,Ferrari,Italian,1.5,0
2020-10-25,10,4,2020,12:10:00,Autódromo Internacional do Algarve,Portimão,Portugal,max_verstappen,23,Dutch,82292.97,26394,3,66,Red Bull,Austrian,1,0
2013-10-27,10,4,2013,09:30:00,Buddh International Circuit,Uttar Pradesh,India,alonso,32,Spanish,92508.07,25820.33,11,60,Ferrari,Italian,2,0
2019-07-14,7,3,2019,13:10:00,Silverstone Circuit,Silverstone,UK,leclerc,21,Monegasque,94203.25,28453,3,52,Ferrari,Italian,1.5,0
2014-08-24,8,3,2014,12:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,hulkenberg,27,German,116869.4,23832,10,44,Force India,Indian,1.5,0
2023-10-29,10,4,2023,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,zhou,24,Chinese,104683,626178,14,71,Alfa Romeo,Swiss,1.5,0
2023-08-27,8,3,2023,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,bottas,33,Finnish,120441.7,499553.2,14,72,Alfa Romeo,Swiss,3,0
2019-07-14,7,3,2019,13:10:00,Silverstone Circuit,Silverstone,UK,hamilton,34,British,93624.08,28905,1,52,Mercedes,German,1,0
2022-10-30,10,4,2022,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,leclerc,25,Monegasque,84302.86,22193,6,71,Ferrari,Italian,1,0
2019-09-22,9,3,2019,12:10:00,Marina Bay Street Circuit,Marina Bay,Singapore,max_verstappen,21,Dutch,116680.1,28846,3,61,Red Bull,Austrian,1,0
2019-07-28,7,3,2019,13:10:00,Hockenheimring,Hockenheim,Germany,max_verstappen,21,Dutch,97988.67,20371.8,1,64,Red Bull,Austrian,3,0
2020-09-06,9,3,2020,13:10:00,Autodromo Nazionale di Monza,Monza,Italy,gasly,24,French,121246.3,771987.5,1,53,AlphaTauri,Italian,1.5,0
2015-10-25,10,4,2015,19:00:00,Circuit of the Americas,Austin,USA,max_verstappen,18,Dutch,119197.5,25215.5,4,56,Toro Rosso,Italian,1.5,0
2021-09-26,9,3,2021,12:00:00,Sochi Autodrom,Sochi,Russia,hamilton,36,British,102660.4,29961.5,1,53,Mercedes,German,1.5,0
2014-04-20,4,2,2014,07:00:00,Shanghai International Circuit,Shanghai,China,bottas,24,Finnish,104838.5,24209.5,7,54,Williams,British,1.5,0
2018-07-08,7,3,2018,13:10:00,Silverstone Circuit,Silverstone,UK,hamilton,33,British,101000.9,28982,2,52,Mercedes,German,1,0
2023-04-30,4,2,2023,11:00:00,Baku City Circuit,Baku,Azerbaijan,ocon,26,French,110984.9,20367,15,51,Alpine F1 Team,French,1,0
2023-03-19,3,1,2023,17:00:00,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,gasly,27,French,98592.82,20719,9,50,Alpine F1 Team,French,1,0
2013-04-14,4,2,2013,07:00:00,Shanghai International Circuit,Shanghai,China,resta,26,British,104250.5,20249.67,8,56,Force India,Indian,2,0
2020-12-06,12,4,2020,17:10:00,Bahrain International Circuit,Sakhir,Bahrain,vettel,33,German,63192.24,26368.33,12,87,Ferrari,Italian,2,0
2019-07-28,7,3,2019,13:10:00,Hockenheimring,Hockenheim,Germany,grosjean,33,French,98251.77,22664.6,7,64,Haas F1 Team,American,3,0
2022-07-24,7,3,2022,13:00:00,Circuit Paul Ricard,Le Castellet,France,hamilton,37,British,102126.4,37189,2,53,Mercedes,German,1,0
2018-04-15,4,2,2018,06:10:00,Shanghai International Circuit,Shanghai,China,kevin_magnussen,25,Danish,103142.4,22973,10,56,Haas F1 Team,American,1,0
2013-10-27,10,4,2013,09:30:00,Buddh International Circuit,Uttar Pradesh,India,massa,32,Brazilian,91897.98,23455.5,4,60,Ferrari,Italian,1.5,0
2019-06-09,6,2,2019,18:10:00,Circuit Gilles Villeneuve,Montreal,Canada,hamilton,34,British,76386.91,23662,1,70,Mercedes,German,1,0
2023-09-24,9,3,2023,05:00:00,Suzuka Circuit,Suzuka,Japan,max_verstappen,25,Dutch,102989.1,24039,1,53,Red Bull,Austrian,1.5,0
2017-10-01,10,4,2017,07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,hamilton,32,British,96679.64,23489,2,56,Mercedes,German,1,0
2023-04-30,4,2,2023,11:00:00,Baku City Circuit,Baku,Azerbaijan,leclerc,25,Monegasque,109483.4,21126,3,51,Ferrari,Italian,1,0
2014-05-11,5,2,2014,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,ricciardo,24,Australian,92638.92,21899.5,3,66,Red Bull,Austrian,1.5,0
2019-07-14,7,3,2019,13:10:00,Silverstone Circuit,Silverstone,UK,kvyat,25,Russian,94907.16,29094,9,52,Toro Rosso,Italian,1.5,0
2017-09-03,9,3,2017,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,bottas,28,Finnish,85599.68,23728,2,53,Mercedes,German,1,0
2013-09-08,9,3,2013,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,bottas,24,Finnish,90003.38,24665,15,53,Williams,British,1,0
2024-04-21,4,2,2024,07:00:00,Shanghai International Circuit,Shanghai,China,piastri,23,Australian,109084.9,22467.5,8,56,McLaren,British,1.5,0
2022-08-28,8,3,2022,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,norris,22,British,119491.7,23298,12,44,McLaren,British,1.5,0
2023-07-30,7,3,2023,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,bottas,33,Finnish,114446.4,23574,12,44,Alfa Romeo,Swiss,1.5,0
