race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,AvgPitDurationMS,Avg_stop,positionOrder,lap_limit,diff_lap
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,leclerc,26643.6,1.3,1,56,5
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,albon,21242,1,19,50,0
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,russell,30873.375,2,4,57,1
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,alonso,182112.333333333,2,10,72,0.333333333333333
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,kevin_magnussen,220369.375,3,18,72,0
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,albon,29284.25,1.25,20,61,11.6666666666667
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,max_verstappen,63742.9026692708,1.66666666666667,4,44,10.125
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,bottas,22698.6333984375,1.25,18,55,4
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,max_verstappen,20598.6666666667,1.16666666666667,5,51,8.14285714285714
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,gasly,28514.25,1.75,5,57,0.5
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,stroll,29246,1.5,8,52,0.25
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,alonso,158782.560546875,2,14,71,0.444444444444444
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,alonso,21972.8409090909,1.36363636363636,9,55,2.88888888888889
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,kevin_magnussen,22709.0625,1.1875,16,55,6.25
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,gasly,24539.7,1.4,12,56,9
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,alonso,26259,1.5,11,50,0
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,tsunoda,23704.5553385417,1.66666666666667,14,56,0.333333333333333
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,ocon,129425.333333333,1.5,15,51,12
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,max_verstappen,24004.5,1.5,5,50,0
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,hulkenberg,24564.0555555556,1.16666666666667,17,53,0.75
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,perez,24205.45,1.25,7,56,5.8
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,hamilton,194709.118001302,1.91666666666667,10,71,0
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,stroll,21888.3056640625,1.41666666666667,8,69,0.166666666666667
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,russell,146617.9375,1.75,3,51,1.25
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,stroll,23628.25,1.33333333333333,11,44,6.28571428571429
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,bottas,30826.7037760417,1.55555555555556,16,61,4.66666666666667
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,norris,109864.162597656,2.125,6,71,5.5
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,hamilton,97256.625,1.25,4,71,0.125
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,hulkenberg,32248,2,16,57,1
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,ricciardo,19086.400390625,2,12,72,0.5
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,sainz,29000.6666666667,2,7,52,4
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,bottas,22738.919921875,1.6,12,69,2.7
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,kevin_magnussen,25354.380859375,1.42857142857143,11,56,1
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,bottas,180083.229166667,2,19,72,6.33333333333333
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,tsunoda,21864.8333333333,1.33333333333333,12,55,-3
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,tsunoda,139841.977864583,2.5,7,71,0.666666666666667
